appname,updated,file_size,download,version,compatibility,price,rating_value,star_total,editors_choice,offered_by,description,Language Learning,Computer Engineering,General Learning,Exam Preparation,Maths,Art,other engineering,Educational Gaming,misc
"
BBC Learning English ",1/7/2018,12M,"100,000 - 500,000 ",1.3.0 ,4.0.3,install,4.7,"1,723",no,E-Learning English,"Do you want to enhance your English skills naturally?
With BBC Learning English program - inspiring language learning since 1943 will help you love English than more!

6 Minute English Listening by BBC Learning English is a free application for learners to improve all of your English skills: English Listening, Speaking, Vocabulary, Pronunciation and Grammar with add-on English dictionary.
You can not only listen to BBC global live radio and Africa live radio, but also watch the BBC special English TV programs and standard BBC Learning English programs. It is best for beginners for learning British English.

LEARN ENGLISH
- Learn English through simple English Conversations from BBC Learning English Program: BBC 6 Minute English, English At Work, The English We Speak...
- Each lesson comes with audio and vocabulary list, which help you to improve your Grammar, Speaking and expand your English Vocabulary
- Learn English by chatting with other learners.

CATEGORIES
- English at University: This is a new animated series that brings you the English words and phrases you need to help you through your first year of study abroad.
- English at Work: This is a new animated series that focuses on English communication in the office. With a great cast of characters and a friendly narrator to help you, this series will get you ready for your next job.
- News Report: Improve your listening skills with News Report - our English language teaching series that uses authentic audio news stories from the BBC.
- The English We Speak: The English We Speak is your chance to catch up on the very latest English words and phrases. In under 3 minutes, we help you stay ahead of the pack by giving you 'must have' phrases that you can use in your everyday conversation. Amaze your friends, impress your teachers and delight your parents with these fantastic words and phrases.
- LingoHack: Get up-to-date with the latest news and understand it too with Lingohack. Listen to and watch authentic BBC World news bulletins and learn key words and phrases that help you make sense of the news.
- BBC 6 Minute English: Our long-running series of topical discussion and new vocabulary, brought to you by your favourite BBC Learning English presenters.
- Pronunciation
- Drama
- Words in the News

FEATURES
- 9 categories with many English conversations from BBC Learning English Program
- Free download to use when you're offline.
- Support English Dictionary.
- Chat with other English learners from all around the world.
- Auto update new lessons.

Let's practice your English skills with BBC 6 Minute English.",1,0,0,0,0,0,0,0,0
"Toeic Test, Toeic Practice - Toeic Listening",12/4/2017,2.7M,"100,000 - 500,000 ",2.8,4.0.3,install,4.8,"2,099",no,Life BC Inc.,"Do you want to improve your Toeic score quickly?
Do you want to improve your reading, listening skills?

-> Toeic Test, Practice Toeic is best app for you

- This application will help you to improve your English as well as your Toeic score
- This application provides thousand of questions and samples that cover on almost Toeic Test contents.
- Learning with 7 categories and simulation Test like standard Toeic Test
- With offline mode, you can learn anywhere, anytime
- Simple interface and easy to use
- Report your result with score of each part

Tag: Toeic Reading, Toeic Listening, Toeic Test, Toeic full Test, practise Toeic, practice Toeic, Toeic full Test, improve English skills, Toeic Trick, Toeic offline, Toeic online,on thi toeic, thi thu toeic, thi toeic, toeic vocabulary, luyen thi toeic, tu vung toeic,....",1,0,0,1,0,0,0,0,0
Mathway,1/18/2018,23M,"5,000,000 - 10,000,000",3.1.10 ,4.4,install,4.2,"60,087",no,Mathway,"With millions of users and billions of problems solved, Mathway is the world's #1 math problem solver. From basic algebra to complex calculus, Mathway instantly solves your most difficult math problems - simply type your problem in (or point your camera and snap a pic!) to receive instant free answers. Need detailed step-by-step solutions? Mathway is like a private tutor in the palm of your hand, providing instant homework help anywhere, anytime.

Mathway covers:
- Basic Math
- Pre-Algebra
- Algebra
- Trigonometry
- Precalculus
- Calculus
- Statistics
- Finite Math
- Linear Algebra
- Chemistry
- Graphing

Got a math problem? Just ask Mathway.

""Easy to use and efficient, Mathway appeals to anyone who needs help solving mathematical problems, whether we're talking about high-school students or undergraduates."" - Yahoo! News

""If you've got some math problems that need solving, check out Mathway. This tool will show you how it reached its answer, letting you learn from the process."" - CNET

""Mathway is an irreplaceable tool when it comes to problem solving. The app helps you do your maths homework. Not only does it do your assignment for you, it teaches you how to do it right. All you have to do is put the equation in and press the Enter button."" - Lifehack",0,0,0,0,1,0,0,0,0
DailyArt - Your Daily Dose of Art,9/21/2017,5.0M,"500,000 - 1,000,000 ",1.3.4 ,4.1,install,4.7,"40,238",no,Moiseum,"Every day get inspired by beautiful classic, modern and contemporary art masterpieces and read short stories about them. Join the community of over 500.000 art lovers, for whom DailyArt is something that enlightens their day, every day. For free, with no ads.

Furthermore:
- Explore and search the archive of more than 1600 masterpieces, 600 artist biographies and 480 museum collections,
- Add masterpieces to your favorites,
- Mark masterpieces you've seen,
- Share everything among your family and friends,
- Set up your account and use DailyArt on multiple devices - on all your iPhones, iPads, Apple Watches :]
- And what's the most important - enjoy art <3

Do you want to know why van Gogh cut off his ear? Or who is the lady on Picasso's portrait? How Jackson Pollock created his paintings? Open DailyArt and find out. According to Time Magazine, VentureBeat and Mashable, DailyArt is a must-have app for all art lovers.

- ""Even if you already know the work, you may not know all the fascinating details the app serves up on the backstory of the art."" - Victor Luckerson, Time Magazine

- “DailyArt is your daily dose of classic paintings, serving up a proverbial shot of espresso to awaken the inner culture vulture in you (...) One of the best 12 educational apps of 2012"" - Paul Sawers, The Next Web.

- ""With its superb images and informative biographical blurbs, DailyArt is perfect for those looking to add some culture to their day."" - Kelly Hodgkins, TUAW

Learn something new about art every day - you just need two minutes. Download your espresso shot of art, for free - with no ads, just pure art.",0,0,0,0,0,1,0,0,0
Code Monk,3/18/2017,2.4M," 100,000 - 500,000 ",2.2.4,4.0.3,install,4.7,"1,124",no,HackerEarth,"HackerEarth brings you an awesome app to learn programming while having fun. Introducing CodeMonk — a weekly series of tutorials on all topics under Computer Science combined with regular coding contests to test your understanding of the topics.

The series focuses on teaching programming to beginners who want to hone their coding skills. However, expert programmers can also use it as a means to revise concepts and improve their programming karma.

It’s time to learn programming the CodeMonk way!

--------------------------------------------
WHAT IS CODEMONK v2.0?
--------------------------------------------

Code Monk is a weekly learning series for those who are looking to learn coding and improve their programming skills from good to great. A great way to learn programming for beginners and become a better developer.

Every week, you get access to detailed tutorials on topics like Basic Programming, Algorithms, Data Structures, Maths and many more as we go.

Go through the tutorials (in C, C++, Java, Javascript, Algorithms etc) during the week and improve your understanding of each topic.

Learn at your own pace, and at the end of each week, there is a programming contest to test your knowledge of each topic. For some topics, depending on their difficulty, you’ll have 2 weeks to prepare for the contest.

Do well in the contests and move up the leaderboard. Aim for the 1st spot and stand a chance to win exclusive t-shirts, vouchers and other goodies in every week’s contest. What better a way to learn programming, right?

--------------------------------------------
FEATURES
--------------------------------------------

1. Login on signup with ease to save and track your progress on the CodeMonk series

2. Register for the CodeMonk challenges on the go through the app itself

3. Get notified when new tutorials are unlocked

4. Smart notifications to remind you of new events that you have registered for

5. Get offline access to all the tutorials and content to learn coding with ease


1. Can I learn programming through CodeMonk?

Yes, CodeMonk helps you learn basics of programming for beginners. You can brush up a lot of concepts on topics like Algorithms, Data Structures, Maths and Basic Programming.

2. Can I register for CodeMonk challenges through the app?

Yes, you can register for challenges using the app itself.

3. Can I take part in the CodeMonk challenges through the app?

Coding is something that is better suited for a full size keyboard with a big screen in front of you. Therefore, you can only stay updated about the challenges using the app.

To participate, you will require to login to the same CodeMonk profile on your computer.

4. What kind of topics are covered in this year's CodeMonk?

CodeMonk covers a huge list of topics like Arrays & strings, sorting, searching, stacks & queues, number theory, trees, graph theory, hashing and many many more!

5. What kind of prizes can I win by taking part in CodeMonk challenges?

The winners of every week’s challenge claim lots of cool prizes that include T-shirts, gift vouchers and lots of HackerEarth goodies!",1,1,0,0,0,0,0,0,0
"
Preschool Educational Games for Kids-EduKidsRoom
",11/29/2017,43M,"500,000 - 1,000,000 ",7.26,4,install,4.2,"2,973",no,Cubic Frog® Apps-Learning Games for Kids,"More than 4 million downloads! EduKidsRoom is played in a kindergarten child’s room filled with a variety of educational objects. Amazing puzzles, games and quizzes for toddler and preschoolers to learn colors, shapes, numbers, letters, time, organization and more!

Now Play in 12 Languages: English, Spanish, Arabic, Russian, Persian, French, German, Chinese, Korean, Japanese, Portuguese.

Games and Activities:

•Match Pairs-Kids learn to match pairs of similar objects based on their color and patterns.
•Learn Colors- Kids learn colors and their names by playing different fun mini games.
•Learn Geometric Shapes- Kids learn geometric shapes and their names by solving shape puzzles.
•Train Puzzle- Amazing wood puzzle to build a train.
•Robot Puzzle-Amazing wood puzzle to make 3 different colorful robots.
•Xylophone Puzzle- Wood xylophone puzzle with sounds. Kids learn about sounds, music and music notes.
•Clock Puzzle- 2 mini games to build a clock and tell the time.
•Learn Numbers and Counting- kindergarten kids learn numbers and number names and counting from 0-10.
•Learn Math- Kids learn basic math skills.
•Alphabet Memory and Letter Phonics- Fun interactive memory game for preschool kids to match the alphabet letters and learn their ABC sounds from A-Z.
•Sorting and Classifying- Kids learn about object organization by playing a fun mini game.
•Categorizing and Organizing - Kids learn categorizing by playing a fun mini game.

Features:

•16 Different Unique Educational Kindergarten Games and Quizzes!
•Two Different Skill Levels, Easy (2-3 Years Old), Normal (3-5 Years Old)!
•Instructional voice commands in 12 Different languages, preschool kids can play independently!
•Customizable!
•3D HD Colorful Graphics!
•Two Adorable Animated 3D Characters Guide Preschool Children In Their Learning Process!
•Unlimited Play and Innovative Rewards System!",0,0,0,0,0,0,0,1,0
Google Arts & Culture,12/13/2017,5.9M,"5,000,000 - 10,000,000 ",6.0.5 ,4.4,install,3.6,"21,574",no,Google LLC,"Keep exploring with Google Arts & Culture. Meet the people, visit the places and learn about the events that shaped our world. Discover collections curated by experts from the most famous museums. Be moved by stories depicted in thousands of photos, videos, manuscripts and artworks on every type of screen and in virtual reality. Find your favorite artworks, create your own collections and share them with friends.

Google Arts & Culture has collaborated with over 1,200 international museums, galleries and institutions from 70 countries to make their exhibits available for everyone online.

Features:
- Zoom Views - Experience every detail of the world’s greatest treasures
- Virtual Reality - Grab your Google Cardboard viewer and immerse yourself in arts and culture
- Browse by time and color - Explore artworks by filtering them by color or time period
- Virtual tours - Step inside the most famous museums in the world and visit iconic landmarks
- Personal collection - Save your favorite artworks and share your collections with friends
- Nearby - Find museums and cultural events around you
- Exhibits - Take guided tours curated by experts
- Daily digest - Learn something new every time you open the app
- Art Recognizer - Learn more about artworks by pointing your device camera at them, even when offline (at select museums)
- Notifications - subscribe to receive updates on the top arts & culture stories

Permissions Notice
- Location: Needed to recommend cultural sites and events based on your current location
- Camera: Needed to recognize artworks and provide related information about them
- Contacts (Get Accounts): Needed to allow sign in with a Google account, in order to store user's favorites and preferences
- Storage: Needed to allow artworks to be recognized and related information to be access while offline",0,0,0,0,0,1,0,0,0
Edukid-The Animal,10/5/2013,10M," 1,000 - 5,000 ", 1.0.0 ,2.2,install,3.3,9,no,Ecce,"EduKid - The ANIMALS Full version is an educational game-kit both for pre-school and school kids.
Helps in children's school and pre-school development, focused on manual skills, logic, brain exercise, color-recognition and matching, color nuances, shades and tones, shapes, sizes and comparison, puppy-mother matching, animal's environment, products they give, footprints recognition etc.

14 playable scenes (40 in paid version)
50+ tasks (150+ in full version)
45+ animals
Earn points
Share results
Compete with others
Compete with yourself, improve your previous results

Includes: shapes, skins, foods, heads, tails, puppies, homes, footprints, products, colors, puzzles, sizes, environment.",0,0,0,0,0,0,0,1,0
"
Expeditions
",12/8/2017,28M," 500,000 - 1,000,000 ",1.5,4.4,install,4.3,"1,815",no,Google LLC,"Google Expeditions is a virtual reality teaching tool that lets you lead or join immersive virtual trips all over the world — get up close with historical landmarks, dive underwater with sharks, even visit outer space!

Built for the classroom and small group use, Google Expeditions allows a teacher acting as a “guide” to lead classroom-sized groups of “explorers” through collections of 360° and 3D images while pointing out interesting sights along the way.

Features:
• Guide classroom-sized groups of locally connected users from your phone or tablet.
• Explore along with a guide in immersive VR by putting your Android phone into a Google Cardboard viewer (http://g.co/cardboard) or use an Android tablet or phone in 2D “magic window” mode.
• Connect devices over the same WiFi network - if the Guide has downloaded some Expeditions, there is no internet connectivity required to run the Expedition!
• Choose from a growing list of over 200 Expeditions - each one is a curated set of VR imagery along with integrated descriptions, talking points and questions.

By using this app you agree to be bound by our Google Terms of Service (Google ToS, http://www.google.com/accounts/TOS), Google’s general Privacy Policy (http://www.google.com/intl/en/policies/privacy/), and the additional terms below. This app is a Service as defined in the Google ToS and the terms regarding software in our Services apply to your use of this app.

Do not use this app while driving, walking, or otherwise by being distracted or disoriented from real world situations that prevent you from obeying traffic or safety laws.",0,0,0,0,0,1,0,0,1
"
Speak Japanese
",9/9/2014,18M," 50,000 - 100,000 ",1,2.3,install,4.5,362,no,59App,"Learn Japanese by Speaking for travelers and beginners, Learning Japanese could never be easier!

- Over 1000+ Common Phrase verbs, vocabularies and sentences with native Pronunciation.
- Extremely useful and Easy to Use.
- Many everyday subjects with carefully categorized.
- Recored and Compare your pronunciation.
- Instant search for Phrases by English and Japanese.
- Bookmark and manage your favorites.
- No Internet connection required, use it anytime, anywhere.

- This app is a perfect travel companion when visiting Japanese speaking countries and you don’t speak the language – and nobody understands yours.",1,0,0,0,0,0,0,0,0
"
Art-droid
",7/7/2017,784k," 100,000 - 500,000 ",1.7,4.1,install,4.5,"1,429",no,ilitSoftware,Art-droid gives you access to one of the largest on-line collections of fine art. The content is provided by Wikiart.org (previously Wikipaintings.org),0,0,0,0,0,1,0,0,0
Stackoverflow,6/30/2017,4.3M," 100,000 - 500,000 ", 1.0.4 ,4.1,install,4.1,"1,118",no,Stack Exchange,"Stack Overflow is the can’t-code-without-it site where professional and enthusiast programmers ask their toughest questions and get answers from their peers. Learn, share and level up — on the go — with the Stack Overflow official app.

- Read, ask, answer, comment, flag and vote on questions.

- Get a push notification when someone answers or comments on your question. Anything that would trigger a Stack Overflow inbox message will trigger an app notification. As always, you can easily turn notifications on and off via settings.

- Search and filter by active, newest, votes and more.

- Draft questions on the go, even when you’re offline. Markdown tools make it easy to add images and code blocks.

- Get back to good questions with a browsing-history view that lists questions you’ve recently looked at.",0,1,0,0,0,0,0,0,0
Udacity conference central,7/1/2014,2.0M," 5,000 - 10,000 ",1,2.3,install,4.3,43,no,udacity,"This is an example app for Udacity course 'Building Scalable Apps with Google App Engine"". In the course you will learn how to build server application that will efficiently and seamlessly scale using Google infrastructure. You can take the course at https://www.udacity.com/course/ud859

Since the course application is build using Cloud Endpoints, you can also easily generate libraries for building mobile applications, and this app showcases a native Android app, that connects to the server developed in this course.

",0,1,0,0,0,0,0,0,0
"
Unacademy Learning App
", 9-02-2018,5.6M," 1,000,000 - 5,000,000 ",varies with device,4.3,install,4.8,"60,836",no,unacademy,"Classroom education in India has stifled many brilliant minds. With Unacademy, India's largest online learning platform, we are changing that. We have on board some of the top educators in the country, including Kiran Bedi, India's first woman IPS officer and now the Governor of Pondicherry. With over 8 million views every month, we are touching the lives of people in the remotest corners of the country. Our success stories include thousands of students who have cracked toughest of examinations, improved their ability to speak and write better and increase their knowledge. Our vision is to partner with the brightest minds and have courses on every possible topic in multiple languages so the whole world can benefit from these courses. India is home to 19% of the world's youth and we are empowering them to take on the world in a manner that classrooms will never do.
The courses on the platform currently provide content for major competitive examinations - UPSC CSE/IAS, SSC CGL, IBPS/SBI, CAT, GRE, GATE/IES, CA, CLAT, JEE, Pre-Medical, Railways Examinations and for other topics - English Language, Competitive Programming, Programming Languages, Fresher Placements, Management, Personal Finance, and Personal Development.
With a robust league of educators from across the country, we strive towards delivering on our promises with the best educational content an aspirant or a learner could find on the Internet.
Unacademy was co-founded by Gaurav Munjal, Roman Saini, Hemesh Singh, and Sachin Gupta. Visit https://unacademy.com
On YouTube, we currently stand as India’s top educational channel - http://youtube.com/unacademy - with over 1.5M subscribers. Our platform Unacademy.com boasts of 130,000 high quality educational lessons made by over 6.5k educators.",0,1,1,1,0,0,0,0,0
"
Mission UPSC
",10/6/2017,8.6M," 100,000 - 500,000 ",1.17,4.1,install,4.6,"4,552",no,IAS Kumar,"Find all UPSC related books and notes:
Previous Year Questions Quiz
NCERT Books
Political Science
Shubhra Ranjan Mam Notes
Optional Notes- Anthropology, Economics,Geography, History, Philosophy, Physics, Political Science,
Public Administration, Sociology
Magazines- Yojana, EPW, World Focus, Down to Earth, Kurukshetra
Standard Books: Freedom Struggle- Bipin Chandra
Modern India- Spectrum
Indian Polity- Laxmikant
Indian Economy- Ramesh Singh
Physical Geography- GC Leong
Environment- Shankar IAS Academy
Internal Security- Ashok Kumar Singh
International Relations- Rajiv Sikri
Toppers Answer Booklet
Tamilnadu Board History Books
IGNOU Notes
Vision IAS Notes
BJYU Notes
Economic Survey
Budget
ARC Reports
CAG Reports
Census 2011
Previous Year Question Papers
Responsive Design
Multilingual app
Unique app for UPSC preparation,",0,0,0,1,0,0,0,0,0
"
Stepik: Free Courses
",2/12/2018,5.7M," 100,000 - 500,000 ",varies with device,varies with device,install,4.8,"3,938",no,Stepik,"Learn anywhere you want with Stepik Mobile App. Stepik is a platform with free online courses devoted to Computer Science and everything tech-related. Learn data structures, Python programming, statistics and many other useful skills.

Access video lectures and assignments on the go.
Download lectures to study even when you’re offline.
Never forget a deadline by easily importing them in the calendar
Connect with your fellow students and get your questions answered instantaneously by engaging in the comment section.
Set reminders to motivate yourself and study regularly to maintain and improve your personal record.
Earn certificates and share them with your friends or improve your job prospects by sharing them on LinkedIn.
Adjust the speed of the video playback for optimal learning experience.",1,0,0,0,0,0,0,0,0
"
codeSpark Academy & The Foos
",2/12/2018,34M," 500,000 - 1,000,000 ", 2.15.00 ,2.3.3,install,4.1,"4,147",no,codeSpark,"codeSpark Academy with The Foos is the #1 learn to code program for kids 4-9! This award-winning app has been downloaded and played by over 4 million kids in 201 countries.

codeSpark Academy teaches the basics of computer programming through a variety of interactive learning activities including puzzles, games, step-by-step creative projects, game design and offline printables – all of which can be monitored by parents.

KEY FEATURES:

* Kids learn key programming concepts and use them to code their own projects in Foo Studio.
* Personalized daily activities based on your child’s progress.
* Curriculum developed based on collaboration with and research from MIT, Princeton and Carnegie Mellon.
* Word-free. Anyone, anywhere can play.
* Perfect for pre-readers, ELL students and kids with reading and focus-related challenges.
* Supports 3 individual child profiles.
* No collection of your child’s private data.
* No advertising or micro-transactions
* No written communication between players or external parties.
* No commitments or hassles and you can cancel at any time.",0,1,0,0,0,0,0,0,0
"
Peak – Brain Games & Training
",14/08/2018,147," 5,000,000 - 10,000,000 ",4.1,varies with device,install,4.5,"249,481",yes,Peaklabs,"It’s time to play smarter and feel sharper with Peak, the app chosen by Google as one of the Best Android Apps in 2016. Join millions of brain trainers worldwide and see what the fuss is all about.

KEY FEATURES

- Free games that challenge your Memory, Attention, Problem Solving, Mental Agility, Language, Coordination, Creativity and Emotion Control.
- Learn which categories you excel in, and compete with friends by comparing your brainmap and game performance.
- Meet Coach, the personal trainer for your brain, to help you track your progress and improve.
- Works offline so you can enjoy Peak games wherever you are.
- More than 35 games available and regular updates to keep you challenged.
- Get personalised workouts and in-depth insights with Peak Pro.
- Get access to Peak Advanced Training modules: intensive programs that train a specific skill, including the new Wizard memory game created with Professor Barbara Sahakian and Tom Piercy in the Department of Psychiatry at the University of Cambridge.

DEVELOPED BY NEUROSCIENTISTS
Designed in collaboration with experts in neuroscience, cognitive science and education, Peakmakes brain training fun and rewarding. Peak's scientific advisory board includes Bruce E. Wexler, M.D., Professor Emeritus at Yale School of Medicine and Founder & Chief Scientist of C8 Sciences, and Professor Barbara Sahakian FMedSci DSc, Professor of Clinical Neuropsychology at the University of Cambridge.
",0,0,0,0,0,0,0,1,0
"
Learn to Draw 3D
",10/21/2017,26M," 1,000,000 - 5,000,000 ",3,2.3,install,4.3,"21,234",no,StudioOne,"This app is a step by step demonstration that will teach you how to create an anamorphic pencil drawing or draw in three dimensions, An Anamorphic image is a deformed image that appears in its true shape when viewed in some unconventional way.

Learning to draw is possibly the best way to expand on and improve children's skills, drawing can also stimulate brain development in young children.

Do you want to learn how to draw 3D objects using basic, easy-to-learn techniques?
Here is an easy 3D drawing tutorial, A drawing board and pencil is all you need.

Main Features:
• Zoom in and out.
• No internet connection needed.
• The app includes 3D drawings lessons such as:
How to Draw 3D Hexagon,
How to Draw 3D Cube,
How to Draw 3D Ball,
How to Draw 3D Water Drop,
How to Draw 3D Hole
How to Draw 3D Cylinder
How to Draw 3D Heart
How to Draw 3D Pyramid
How to Draw 3D Glass of Water
How to draw 3D Pyramid
How to draw 3D Pisa Tower and much more!

• Each drawing is divided into a number of steps which are easy to draw.
• Starting from a few lines, you’ll end up with a complete picture.
• 3D Art pencil Drawings tutorial.",0,0,0,0,0,1,0,0,0
"

MalMath: Step by step solver

",2/5/2018,5.2M,"5,000,000 - 10,000,000 ",3.1.0 ,4,install,4.6,"76,921",no,MalMath,"MalMath is a math problem solver with step by step description and graph view. It’s free and works offline.
Solve:
  • Integrals
  • Derivatives
  • Limits
  • Trigonometry
  • Logarithms
  • Equations
  • Algebra
It helps students to understand the solving process and others who have problems on their homework. It is helpful for high school and college students, teachers and parents.
Key MalMath features:
  • Step by step description with detailed explanation for each step.
  • Easier to understand steps using highlights.
  • Graph analysis.
  • Generates math problems with several categories and difficulty levels.
  • Save or share solutions and graphs.
",0,0,0,0,1,0,0,0,0
Codenza: Programming Repository,9/7/2017,7.6M,"100,000 - 500,000 ",2.2,4.2,install,4.5,"1,438",no,thetechiesguide.com,"Topics: C, C++, Java, Data Structures using C, C++ & Java, Algorithms in C, C++ & Java, Computer Graphics using C, C++ & Java, PHP, Python, C#, Perl, JavaScript, CSS, Assembly, HTML, Ruby, R Programming, MYSQL, Computer Networks, SQL, PLSQL, Datawarehouse & Mining, System Programming & Compiler Construction(SPCC), Digital Signal Processing, Parallel & Distributing System, Operating System, Microprocessor, Cryptography & Security, Big Data Analysis, Artificial Intelligence, Lua.
Some Languages are only found in the Pro Version

Codenza is a Programming GuideBook for IT/Computer Science Students & Professors to help them with the aspects of programming. From an Engineer to a Ph.D., everyone can rely on codenza. Codenza does not teach programming, it acts as a Reference/GuideBook for programmers & provides Computer Programs.",1,1,0,0,0,0,0,0,0
ScratchJr,10/23/2017,14M,"500,000 - 1,000,000 ",1.2.5 ,4.2,install,4.3,"4,503",no,Scratch,"ScratchJr is an introductory programming language that enables young children (ages 5 and up) to create their own interactive stories and games. Children snap together graphical programming blocks to make characters move, jump, dance, and sing. Children can modify characters in the paint editor, add their own voices and sounds, even insert photos of themselves -- then use the programming blocks to make their characters come to life.

ScratchJr was inspired by the popular Scratch programming language (http://scratch.mit.edu), used by millions of young people (ages 8 and up) around the world. In creating ScratchJr, we redesigned the interface and programming language to make them developmentally appropriate for younger children, carefully designing features to match young children's cognitive, personal, social, and emotional development.

We see coding (or computer programming) as a new type of literacy. Just as writing helps you organize your thinking and express your ideas, the same is true for coding. In the past, coding was seen as too difficult for most people. But we think coding should be for everyone, just like writing.

As young children code with ScratchJr, they learn how to create and express themselves with the computer, not just to interact with it. In the process, children learn to solve problems and design projects, and they develop sequencing skills that are foundational for later academic success. They also use math and language in a meaningful and motivating context, supporting the development of early-childhood numeracy and literacy. With ScratchJr, children aren't just learning to code, they are coding to learn.

ScratchJr is a collaboration between the Developmental Technologies group at Tufts University, the Lifelong Kindergarten group at the MIT Media Lab, and the Playful Invention Company. Two Sigma led the implementation of the Android version of ScratchJr. The graphics and illustrations for ScratchJr were created by HvingtQuatre Company and Sarah Thomson.",0,1,0,0,0,0,0,0,0
Complete Mathematics,10/23/2017,5.7M,"500,000 - 1,000,000 ",3,4,install,4.1,"3,321",no,ToscanyTech,"Complete Mathematics App covers basic and high school maths in a simple way. It categorizes different aspects of math in such a way that you can pick up what you plan to learn and start learning.

Gone are the days when most people complain about learning mathematics. This app has solved the problem.

Complete Mathematics App has the following sections tutorials, formulas, calculation, theory questions, quiz, dictionary, scientific calculator, graphing calculator, math tricks, brain teaser, unit converter, binary converter, statistics calculator.

This app can be used my any math lover, teachers and students planning to write exam. This app was built around the following examinations WAEC, NECO, GCE, GCSE, KCSE and JAMB syllabus but feel free to use it to solve your own math problems.

Although we plan to cover all the topics you can think about, this app will be constantly updated with fresh topics at interval.

You can enjoy the following topics

Modular Arithmetic
Arithmetic and Geometric sequence
Annuities
Amortization and Depreciation
Approximations and Significant Figures
Basic Operations On Number Base
Basic rules of logarithms
Instruments Traded In The Capital Market
Compound Interest and percentages
Financial Arithmetic
Basic Operations On Fractions And Decimals
Order, Notation And Types Of Matrices
Number Bases
Standard Form
Rational Numbers
Ratio, Proportions And Rates
Indices and Logarithmic Functions
Sequence and Series
Calculations of Simple Interest
Rationalization Of Simple Surds
Logarithms And Antilogarithms
Dividing a line segment into equal parts
Construction Of An Equilateral Triangle
Area of Triangles, Special Quadrilaterals
Coordinate Geometry of straight Lines
Angles Of Polygon
Factorization
Congruent shapes
Angles around a Point
Directions and Bearings
Bisector Of An Angle-Bisecting An Angle
Perpendicular Bisector Of A Line Segment
Geometry Construction Of A Square
Angles of Elevation and Depression
Geometry construction
Construction of angles 75, 90°, 105, 120, 135, and 150
Introducing The Vector
Graphical Solution Of Linear Inequalities
Graph of Linear function
Introduction To Trigonometry functions
Graph of quadratic function
Integration of Algebraic Functions
Graphs Of The Trigonometric Functions
Vectors
Types of Sets
De Morgan's Law and Combined Set Operations
Disjoint Sets
Intersection Of The Sets
Venn Diagram
Binary Operations
Domain, Co-Domain And Range Of Function
Logical reasoning
Surds
Function Notation
Functions Versus Relations
Polynomial Functions/ inequality
Quadratic Functions
Indices and the Law of Indices
Plane Geometry
Solid Geometry
Statistics
Probability",0,0,0,1,1,0,0,0,0
Studying painting,7/13/2016,5.2M,"100,000 - 500,000 ",varies with device,varies with device,install,4.7,"
4,268 ",no,Arseniy Borisov,"By using ""Studying painting"", you will know more about the works of the greatest artists, and the authors themselves. More than 7,000 paintings in high quality, distributed by collection: Impressionism, Russian painting, Portrait painting, Baroque and others.

2 modes of operation:
* Gallery Mode for detailed view of works
* Mode quiz to guess the author's picture (Intelligent System selection of pictures will help you quickly remember the author)

Key features:
* Ability to download all the pictures of the collection for offline viewing
* Descriptions of the paintings and artists' biographies
* Gradient background, unique to each painting and fullscreen mode will immerse themselves in the wonderful
* Adding paintings to favorites
* Sending pictures of your friends, set as wallpaper
* The app is absolutely free, no advertising contains
",0,0,0,0,0,1,0,0,0
"
Voscreen - Learn English with Videos
5,764
Voscreen Education
",2/9/2017,4.4M,"500,000 - 1,000,000",1.2.5 ,4,install,4.7,"5,764",no,Voscreen,"Selected as third best educational app by Wharton Business School (USA),
Reimagine Education 2016.

Voscreen is a free app to learn and improve English.

Watch video clips from movies, documentaries, music videos and cartoons to improve your English.

Voscreen makes learning English fun and easy, so it accelerates your language learning process.

Voscreen increases your motivation thanks to its natural learning environment.

On voStep menu, you can choose video clips from beginner to advanced to focus on your own level of English.

On voStructure menu, you can practise any grammar point such as “present simple” or “noun clause”.

Watching and listening to videos, you get exposed to natural English and improve listening comprehension as well as pronounciation.

You can learn new words and improve your vocabulary.

With its video-question design, Voscreen helps you impove reading skills.

Choosing “English-to-English” language mode, you can improve paraphrasing (restatement) skills.

You can increase your understanding of synonyms and antonyms.

Voscreen offers features for all, ranging from kids to adults.

You are recommended to play Voscreen at least 20 minutes a day for constant progress.

Download the app now and join millons of people worldwide improving English with Voscreen for free.

",1,0,0,0,0,0,0,0,0
